align_len	b1	b2	bw1	bw2	ch_match	e1	e2	ew1	ew2	gid1	gid2	id1	id2	len1	len2	matches	matches_percent	s1	s2	score	seq1	seq2	series_b1	series_b2	tok1	tok2	uid1	uid2	w_match
192	467	1052	91	211	139	659	1233	131	250	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0057	1532	1493	177	92.1875	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب النبي ص --	334.5	101	57	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	6140921868310797887	35
182	467	1318	91	263	132	649	1491	129	300	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0059	1532	1491	169	92.85714285714286	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب	321.0	101	59	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-2735635725648978569	33
197	462	332	90	72	134	659	509	131	111	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0063	1532	1425	172	87.30964467005076	غيره وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	بيده -حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب النبي ص --	309.5	101	63	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-2610094873228402617	34
212	467	594	91	120	131	669	788	133	162	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0065	1532	1475	170	80.18867924528303	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب ------النبي صلى الله عليه ----	-حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب رسول الله ص قال الله للملائكة	288.0	101	65	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-4578073073651633829	33
192	467	494	91	103	131	659	666	131	141	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0066	1532	1425	168	87.5	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب النبي ص --	302.5	101	66	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-1791315930605029016	33
197	467	489	91	100	129	664	663	132	138	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0073	1532	1439	167	84.77157360406092	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى الله	-حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب رسول----- الله	293.0	101	73	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-8924210365105229603	33
212	467	19	91	4	145	669	221	133	48	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0075	1532	1453	185	87.26415094339622	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى---------- الله عليه	-حدثني موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من اصحاب النبي ص قال لما قال الله عز --	338.0	101	75	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-7459388684280684392	36
192	474	519	92	100	110	664	683	132	136	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0079	1532	1448	145	75.52083333333334	-موسى بن هارون الهمداني قال حدثنا عمرو -بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى الله	وموسى بن هارون قالا حد--------ثنا عمرو ابن حماد عن-------------- أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب رسول----- الله	246.0	101	79	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-8848691737311375135	28
200	467	78	91	16	138	664	264	132	56	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0098	1532	1484	177	88.5	وحدثني--- موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى الله	-حدثني به موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب رسول----- الله	317.0	101	98	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	6113148194757629151	35
239	434	501	84	99	127	659	696	131	141	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0175	1532	1486	163	68.20083682008368	-الله الذي لا يقبل من العباد غيره وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح -عن ------------ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	صاحبه الذي أراد إحراقه ------------حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن -------------أبي صالح وعن أبي مالك عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب النبي ص --	273.0	101	175	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	4435996100220953213	29
205	467	612	91	124	121	659	785	131	162	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0177	1532	1490	155	75.60975609756098	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح -عن ------------ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن -------------أبي صالح وعن أبي مالك عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن اناس من اصحاب النبي ص --	271.5	101	177	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-7313463919361450366	28
192	467	919	91	196	131	659	1091	131	234	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0202	1532	1407	168	87.5	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب النبي ص --	302.5	101	202	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-686116381841996149	33
197	467	148	91	30	129	664	322	132	68	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0223	1532	1503	167	84.77157360406092	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى الله	-حدثنا موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب رسول----- الله	298.0	101	223	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-784939499570219933	34
208	467	336	91	65	136	669	526	133	106	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0225	1532	1542	175	84.13461538461539	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى-- الله عليه ----	-حدثنا موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب النبي ص بعث الله الملائكة	310.0	101	225	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-5774660914588823178	35
192	467	69	91	16	131	659	241	131	54	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0227	1532	1427	168	87.5	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب النبي ص --	302.5	101	227	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-8464681230649982217	33
192	467	57	91	10	131	659	229	131	48	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0230	1532	1513	168	87.5	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب النبي ص --	302.5	101	230	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-3524794020006150119	33
197	467	1023	91	202	113	664	1174	132	235	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0295	1532	1503	146	74.11167512690355	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى الله	-حدثنا موسى بن هارون--------- قال حد------------------------------ثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب رسول----- الله	263.5	101	295	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-2068587427990516407	29
209	467	988	91	195	141	664	1188	132	239	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0330	1532	1477	181	86.60287081339713	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ا--------بن مسعود وعن أناس من أصحاب النبي ص----لى الله	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن عبد الله بن مسعود وعن -ناس من اصحاب النبي ص ثم إن الله	327.0	101	330	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	9027934820798930834	34
207	467	196	91	35	135	664	385	132	77	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0352	1532	1528	173	83.57487922705315	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي ص---------لى الله -	-حدثني موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب النبي ص ألم تر إلى الذين	302.0	101	352	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	7589042003524048256	33
192	467	514	91	107	138	659	695	131	146	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0457	1532	1439	176	91.66666666666666	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب النبي ص --	331.5	101	457	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-5138917600386452128	34
192	467	149	91	32	130	659	321	131	70	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0469	1532	1489	167	86.97916666666666	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثنا موسى بن هارون--------- قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من اصحاب النبي ص --	304.5	101	469	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	1937962494424146948	33
